PHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
325001;Head of State;Manuel Quezon;1933;1964;1999;SL;Die-hard Reformer;High;M50001;X
325002;Head of Government;Sergio Osmeña;1933;1964;1999;SL;Silent Workhorse;High;M50002;X
325003;Foreign Minister;Quintin Paredes;1933;1964;1999;SL;Apologetic Clerk;Low;M50003;X
325004;Minister of Armament;Elpidio Quirino;1933;1964;1999;SL;laissez-faire capitalist;Medium;M50004;X
325005;Minister of Security;Jose Yulo;1933;1964;1999;SL;Compassionate Gentleman;Medium;M50005;X
325006;Head of Military Intelligence;Benito N. Ebuen;1933;1964;1999;SL;Logistics Specialist;High;M50006;X
325007;Chief of Staff;Paulino Santos;1933;1964;1999;SL;School of Psychology;Medium;M50007;X
325008;Chief of Army;Leoncio S. Tan;1933;1964;1999;SL;Guns and Butter Doctrine;Very High;M50008;X
325009;Chief of Navy;Santiago Nuval;1933;1964;1999;SL;Open Seas Doctrine;Medium;M50009;X
325010;Chief of Air Force;Pelagio Cruz;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M50010;X
325011;Head of State;Elpidio Quirino;1933;1964;1999;SC;Pig-headed Isolationist;High;M50004;X
325012;Head of State;Emilio Aguinaldo;1933;1964;1999;SD;Popular Figurehead;High;M50032;X
325013;Head of State;Juan Sumulong;1941;1964;1999;SD;Barking Buffoon;High;M50033;X
325014;Head of State;Sergio Osmeña;1944;1964;1999;SL;Stern Imperialist;High;M50002;X
325015;Head of State;Manuel Roxas;1945;1964;1999;SL;Resigned Generalissimo;High;M50035;X
325016;Head of Government;Elpidio Quirino;1933;1964;1999;SC;Silent Workhorse;High;M50004;X
325017;Head of Government;Rafel Liwanag;1933;1964;1999;SD;Political Protege;High;M50037;X
325018;Head of Government;Juan Sumulong;1941;1964;1999;SD;Happy Amateur;High;M50033;X
325019;Foreign Minister;Manuel Quezon;1937;1964;1999;SL;the cloak n dagger schemer;High;M50001;X
325020;Foreign Minister;Joaquin Elizalde;1938;1964;1999;SL;Great Compromiser;High;M50040;X
325021;Foreign Minister;Sergio Osmeña;1939;1964;1999;SL;Iron Fisted Brute;Low;M50002;X
325022;Foreign Minister;Manuel Quadrino;1940;1964;1999;SL;Biased Intellectual;Very Low;M50042;X
325023;Foreign Minister;Juan Sumulong;1941;1964;1999;SD;Biased Intellectual;Medium;M50033;X
325024;Foreign Minister;Elpidio Quirino;1933;1964;1999;SC;Ideological Crusader;Medium;M50004;X
325025;Foreign Minister;Ferdinand Marcos;1945;1964;1999;SC;Iron Fisted Brute;Medium;M50013;X
325026;Foreign Minister;Emilio Aguinaldo;1933;1964;1999;SD;Ideological Crusader;Medium;M50032;X
325027;Minister of Armament;Antonio de las Alas;1933;1964;1999;SL;laissez-faire capitalist;Low;M50014;X
325028;Minister of Armament;Rafel Liwanag;1933;1964;1999;SD;Submarine Proponent;Medium;M50037;X
325029;Minister of Armament;Manuel Roxas;1938;1964;1999;SC;Air to Sea Proponent;Medium;M50035;X
325030;Minister of Armament;Manuel Quadrino;1941;1964;1999;SL;Corrupt Kleptocrat;Very Low;M50042;X
325031;Minister of Armament;Serafin Fausto;1941;1964;1999;SC;Administrative Genius;Medium;M50051;X
325032;Minister of Armament;Carlos P. Garcia;1941;1964;1999;SD;Battle Fleet Proponent;Medium;M50052;X
325033;Minister of Armament;José G. David;1942;1964;1999;SC;Resource Industrialist;Medium;M50053;X
325034;Minister of Armament;Ramon Magsaysay;1945;1964;1999;SC;Tank Proponent;Medium;M50054;X
325035;Minister of Armament;Diosdado P. Macapagal;1945;1964;1999;SD;Military Entrepreneur;Medium;M50055;X
325036;Minister of Security;Pardo de Tavera;1933;1964;1999;SD;Prince of Terror;Medium;M50056;X
325037;Minister of Security;Leoncio S. Tan;1938;1964;1999;SL;Back Stabber;High;M50008;X
325038;Minister of Security;Roman Apolinario;1939;1964;1999;SL;Man of the People;Medium;M50058;X
325039;Minister of Security;Tiranó Craveza;1940;1964;1999;SC;Efficient Sociopath;Low;M50059;X
325040;Minister of Security;Teofilo Sison;1941;1964;1999;SC;Compassionate Gentleman;Medium;M50060;X
325041;Minister of Security;Jose P. Laurel;1941;1964;1999;SC;Silent Lawyer;Medium;M50061;X
325042;Minister of Security;José M.Crisol;1942;1964;1999;SD;Crooked Kleptocrat;Low;M50062;X
325043;Minister of Security;Alberto Ramos;1944;1964;1999;SL;Silent Lawyer;Medium;M50064;X
325044;Minister of Security;Serafin Fausto;1945;1964;1999;SC;Silent Lawyer;Medium;M50051;X
325045;Minister of Security;José G. Lukban;1945;1964;1999;SC;Efficient Sociopath;Medium;M50066;X
325046;Minister of Security;Ramon Quisumbing;1945;1964;1999;SL;Man of the People;Medium;M50067;X
325047;Chief of Staff;Basilio J. Valdez;1939;1964;1999;SC;School of Defence;Low;M50017;X
325048;Chief of Staff;Augusto Jurado;1944;1964;1999;SL;School of Mass Combat;Medium;M50069;X
325049;Chief of Staff;Quirinto P. Evangelista;1945;1964;1999;SL;School of Manoeuvre;High;M50070;X
325050;Chief of Army;Benito N. Ebuen;1937;1964;1999;SL;Decisive Battle Doctrine;High;M50006;X
325051;Chief of Army;Vicente P. Lim;1939;1964;1999;SL;Elastic Defence Doctrine;Medium;M50073;X
325052;Chief of Army;Heraclio Alano;1944;1964;1999;SL;Armoured Spearhead Doctrine;High;M50074;X
325053;Chief of Army;Mateo M. Capinpin;1945;1964;1999;SL;Guns and Butter Doctrine;Medium;M50075;X
325054;Chief of Army;Rafael Jalandoni;1946;1964;1999;SL;Guns and Butter Doctrine;Medium;M50076;X
325055;Head of Military Intelligence;James Wilson;1933;1964;1999;SL;Naval Intelligence Specialist;High;M50077;X
325056;Head of Military Intelligence;Leslie Ailen Wheeler;1938;1964;1999;SL;Technical Specialist;High;M50078;X
325057;Head of Military Intelligence;Fidel Segundo;1939;1964;1999;SL;Logistics Specialist;High;M50079;X
325058;Head of Military Intelligence;Benigno Ramos;1942;1964;1999;SL;Political Specialist;Very Low;M50016;X
325059;Head of Military Intelligence;John Gilbert Winant;1943;1964;1999;SL;Industrial Specialist;Medium;M50081;X
325060;Chief of Navy;Eustacio Orobia;1938;1964;1999;SC;Indirect Approach Doctrine;Very Low;M50019;X
325061;Chief of Navy;Jose V. Andrada;1938;1964;1999;SL;Open Seas Doctrine;Low;M50083;X
325062;Chief of Navy;Ramon A. Alcaraz;1942;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M50084;X
325063;Chief of Air Force;Basilio Fernando;1940;1964;1999;SL;Army Aviation Doctrine;High;M50085;X
325064;Chief of Air Force;Edwin Andrews;1944;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M50086;X
325065;Chief of Air Force;Victor H. Dizon;1946;1964;1999;SC;Naval Aviation Doctrine;High;M50087;X
325066;Head of Government;Manuel Roxas;1945;1964;1999;SL;Old General;High;M50035;X
325067;Head of State;José P. Laurel;1933;1964;1999;PA;Powerhungry Demagogue;High;M50011;X
325068;Head of Government;José P. Laurel;1933;1964;1999;PA;Smiling Oilman;High;M50011;X
325069;Minister of Security;Benigno Aquino sr.;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M50015;X
325070;Chief of Army;Basilio J. Valdez;1933;1964;1999;PA;Static Defence Doctrine;Medium;M50017;X
325071;Chief of Air Force;Felix Pestana;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M50020;X
325072;Head of State;Crisanto Evangelista;1933;1964;1999;LE;Weary Stiffneck;High;M50021;X
325073;Head of Government;Pedro Abad Santos;1933;1964;1999;LE;Corporate Suit;High;M50022;X
325074;Foreign Minister;Casto Alejandrino;1933;1964;1999;LE;Apologetic Clerk;Medium;M50023;X
325075;Minister of Armament;Crisanto Evangelista;1933;1964;1999;LE;Administrative Genius;Medium;M50021;X
325076;Minister of Security;Mariano Balgos;1933;1964;1999;LWR;Crime Fighter;Medium;M50025;X
325077;Head of Military Intelligence;Luis Taruc;1933;1964;1999;LE;Dismal Enigma;Medium;M50026;X
325078;Chief of Staff;Luis Taruc;1933;1964;1999;LE;School of Manoeuvre;Medium;M50026;X
325079;Chief of Army;Jesus Lava;1933;1964;1999;LE;Guns and Butter Doctrine;Medium;M50028;X
325080;Chief of Navy;Jesus Lava;1933;1964;1999;LE;Base Control Doctrine;Medium;M50028;X
325081;Chief of Air Force;Joe Rogers;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M50030;X
325082;Head of State;Theodore Roosevelt, Jr.;1933;1933;1999;ML;Autocratic Charmer;High;5770;X
325083;Head of State;Frank Murphy;1933;1935;1999;ML;Benevolent Gentleman;High;M6107;X
